1.5000000.333333
1.2500000.200000
1.1250000.111111
1.0625000.058824
1.0312500.030303
1.0156250.015385
1.0078120.007752
1.0039060.003891
1.0019530.001949
1.0009770.000976
1.0004880.000488
1.0002440.000244
1.0001220.000122
1.0000610.000061
1.0000310.000031
1.0000150.000015
1.0000080.000008
